Day,Downloads,"Downloaded 06/03/2024, 16:26:37 from https://sourceforge.net"
2023-12-07,"115,521"
2023-12-08,"99,055"
2023-12-09,"70,405"
2023-12-10,"67,226"
2023-12-11,"109,823"
2023-12-12,"116,065"
2023-12-13,"124,131"
2023-12-14,"104,199"
2023-12-15,"88,015"
2023-12-16,"62,079"
2023-12-17,"52,726"
2023-12-18,"93,319"
2023-12-19,"106,640"
2023-12-20,"94,495"
2023-12-21,"77,190"
2023-12-22,"74,003"
2023-12-23,"53,656"
2023-12-24,"43,999"
2023-12-25,"46,055"
2023-12-26,"69,255"
2023-12-27,"76,600"
2023-12-28,"79,962"
2023-12-29,"67,323"
2023-12-30,"45,555"
2023-12-31,"39,702"
2024-01-01,"47,065"
2024-01-02,"102,669"
2024-01-03,"78,535"
2024-01-04,"85,757"
2024-01-05,"76,162"
2024-01-06,"54,012"
2024-01-07,"56,452"
2024-01-08,"103,872"
2024-01-09,"107,237"
2024-01-10,"95,111"
2024-01-11,"92,577"
2024-01-12,"78,345"
2024-01-13,"54,104"
2024-01-14,"49,718"
2024-01-15,"102,488"
2024-01-16,"105,992"
2024-01-17,"106,727"
2024-01-18,"94,914"
2024-01-19,"77,791"
2024-01-20,"54,420"
2024-01-21,"58,435"
2024-01-22,"91,409"
2024-01-23,"102,240"
2024-01-24,"97,433"
2024-01-25,"81,336"
2024-01-26,"79,619"
2024-01-27,"59,317"
2024-01-28,"53,191"
2024-01-29,"92,733"
2024-01-30,"100,296"
2024-01-31,"94,698"
2024-02-01,"98,985"
2024-02-02,"85,393"
2024-02-03,"56,004"
2024-02-04,"54,245"
2024-02-05,"112,010"
2024-02-06,"118,200"
2024-02-07,"96,679"
2024-02-08,"86,695"
2024-02-09,"82,975"
2024-02-10,"58,809"
2024-02-11,"61,138"
2024-02-12,"98,918"
2024-02-13,"104,099"
2024-02-14,"80,594"
2024-02-15,"86,558"
2024-02-16,"76,970"
2024-02-17,"58,267"
2024-02-18,"55,528"
2024-02-19,"97,403"
2024-02-20,"102,719"
2024-02-21,"99,766"
2024-02-22,"93,822"
2024-02-23,"88,122"
2024-02-24,"61,114"
2024-02-25,"47,222"
2024-02-26,"95,344"
2024-02-27,"116,535"
2024-02-28,"98,537"
2024-02-29,"91,023"
2024-03-01,"75,347"
2024-03-02,"55,545"
2024-03-03,"51,505"
2024-03-04,"86,779"
2024-03-05,"95,281"
2024-03-06,"53,194"
